release site,year,released,sal_tot,sal_cvp,sal_swp,fall,winter,late_fall,dcc,CI,km,sac_in,exports,exp_prop_sac,length,ocean_adj,ci_cpue,km_z,sac_in_z,exports_z,length_z,ocean_adj_z,ci_cpue_z,CVP,SWP,CVP_z,SWP_z,OMR_z,SJ_Z,pro_z
col,2007,74710,147,86,61,0,0,1,0,28,576.860531,13500,10546,0.781185185,133,NA,8.358,0.653240579,-0.776567075,1.491646939,1.949508718,NA,0.693867666,4380.571429,3194.142857,1.331144458,0.185300392,-0.756405667,-0.493745147,2.759529471
col,1996,74726,62,24,38,0,0,1,0,17,576.860531,45600,4383,0.096118421,123,832,10.235,0.653240579,0.761068503,-0.328139178,1.566056548,0.99502473,0.983655908,4230.857143,0,1.225303819,-1.382413736,-0.096463502,-0.573056746,-0.84037688
col,2003,74760,378,168,210,0,0,1,0,21,576.860531,49500,9275,0.187373737,131,1458,15,0.653240579,0.947884041,1.116351116,1.872818284,2.224623639,1.719319719,4315.857143,5794.857143,1.28539464,1.461754423,-0.459632662,-0.592884645,-0.360846111
col,2004,75162,0,0,0,1,0,0,0,36,576.860531,13300,1329,0.099924812,79,508,5.343,0.653240579,-0.786147359,-1.229912145,-0.121133001,0.358618905,0.228384688,530.4285714,915.2857143,-1.390717234,-0.933183251,0.880771123,-0.493745147,-0.820374959
col,2002,75445,0,0,0,1,0,0,0,32,576.860531,11300,1714,0.151681416,77,1067,4.945,0.653240579,-0.881950198,-1.116230877,-0.197823435,1.456615375,0.166937847,853.1428571,627.2857143,-1.162574102,-1.074536249,0.438998007,-0.409476573,-0.548403033
col,2000,76008,79,36,43,0,0,1,1,11,576.860531,16100,9512,0.590807453,120,1045,8.209,0.653240579,-0.652023383,1.186331533,1.451020897,1.413402634,0.670863698,2384.142857,5941.428571,-0.08023238,1.533693003,-1.107479595,-0.660629969,1.759127696
col,2000,76352,68,36,32,0,0,1,1,16,576.860531,16300,1634,0.100245399,110,650,7.339,0.653240579,-0.642443099,-1.139852959,1.067568727,0.637537507,0.536545227,1541.714286,2567.142857,-0.675787958,-0.122436864,-1.068922576,-0.63749742,-0.81869033
col,2002,77223,6,0,6,1,0,0,0,52,576.860531,11300,1714,0.151681416,77,990,8.014,0.653240579,-0.881950198,-1.116230877,-0.197823435,1.305370781,0.640757834,853.1428571,627.2857143,-1.162574102,-1.074536249,0.438998007,-0.409476573,-0.548403033
col,2002,77386,0,0,0,1,0,0,0,25,576.860531,11300,1714,0.151681416,77,816,3.863,0.653240579,-0.881950198,-1.116230877,-0.197823435,0.963597282,-0.000111102,853.1428571,627.2857143,-1.162574102,-1.074536249,0.438998007,-0.409476573,-0.548403033
col,2002,77728,0,0,0,1,0,0,0,31,576.860531,10300,1710,0.166019417,77,982,4.796,0.653240579,-0.929851618,-1.117411981,-0.197823435,1.289657056,0.143933879,827.5714286,665.2857143,-1.180651844,-1.055885506,0.435921558,-0.379734723,-0.473059338
col,2002,77992,0,0,0,1,0,0,0,35,576.860531,11300,1714,0.151681416,77,758,5.409,0.653240579,-0.881950198,-1.116230877,-0.197823435,0.849672782,0.238574365,853.1428571,627.2857143,-1.162574102,-1.074536249,0.438998007,-0.409476573,-0.548403033
col,2002,78259,0,0,0,1,0,0,0,17,576.860531,10300,1710,0.166019417,77,529,2.611,0.653240579,-0.929851618,-1.117411981,-0.197823435,0.39986743,-0.19340619,827.5714286,665.2857143,-1.180651844,-1.055885506,0.435921558,-0.379734723,-0.473059338
col,2002,78350,0,0,0,1,0,0,0,18,576.860531,10300,1710,0.166019417,77,189,2.731,0.653240579,-0.929851618,-1.117411981,-0.197823435,-0.267965843,-0.174879504,827.5714286,665.2857143,-1.180651844,-1.055885506,0.435921558,-0.379734723,-0.473059338
col,1994,78423,26,24,2,0,0,1,0,7,576.860531,11900,5299,0.445294118,124,361,5.018,0.653240579,-0.853209347,-0.057666342,1.604401765,0.069879225,0.178208247,1117.142857,3554.571429,-0.975939082,0.362201986,-0.489263253,-0.64080207,0.994480502
col,1994,78569,39,72,18,0,0,1,0,22,576.860531,11900,5299,0.445294118,136,1297,16,0.653240579,-0.853209347,-0.057666342,2.064544369,1.908384942,1.873708766,1117.142857,3554.571429,-0.975939082,0.362201986,-0.489263253,-0.64080207,0.994480502
col,2002,78569,6,0,6,1,0,0,0,31,576.860531,11300,1714,0.151681416,77,812,4.748,0.653240579,-0.881950198,-1.116230877,-0.197823435,0.95574042,0.136523205,853.1428571,627.2857143,-1.162574102,-1.074536249,0.438998007,-0.409476573,-0.548403033
col,2002,78641,0,0,0,1,0,0,0,25,576.860531,10300,1710,0.166019417,77,258,3.792,0.653240579,-0.929851618,-1.117411981,-0.197823435,-0.132434973,-0.011072725,827.5714286,665.2857143,-1.180651844,-1.055885506,0.435921558,-0.379734723,-0.473059338
col,2002,78714,0,0,0,1,0,0,0,28,576.860531,11300,1714,0.151681416,77,722,4.328,0.653240579,-0.881950198,-1.116230877,-0.197823435,0.778961024,0.071679805,853.1428571,627.2857143,-1.162574102,-1.074536249,0.438998007,-0.409476573,-0.548403033
col,2007,78752,49,9,40,0,0,1,1,15,576.860531,13000,9216,0.708923077,128,NA,5.597,0.653240579,-0.800517785,1.098929831,1.757782633,NA,0.267599506,4263.285714,6040.857143,1.248229224,1.582493442,-0.903171699,-0.559838146,2.379804698
col,2002,78815,0,0,0,1,0,0,0,33,576.860531,10300,1710,0.166019417,77,816,5.068,0.653240579,-0.929851618,-1.117411981,-0.197823435,0.963597282,0.1859277,827.5714286,665.2857143,-1.180651844,-1.055885506,0.435921558,-0.379734723,-0.473059338
col,2002,78898,0,0,0,1,0,0,0,29,576.860531,10900,1682,0.154311927,77,960,4.481,0.653240579,-0.901110766,-1.12567971,-0.197823435,1.246444315,0.095301329,827.5714286,656.7142857,-1.180651844,-1.060092441,0.419986775,-0.394605648,-0.534580156
col,2002,79138,0,0,0,1,0,0,0,33,576.860531,10300,1710,0.166019417,77,478,5.068,0.653240579,-0.929851618,-1.117411981,-0.197823435,0.299692439,0.1859277,827.5714286,665.2857143,-1.180651844,-1.055885506,0.435921558,-0.379734723,-0.473059338
live_oak,2003,79201,0,0,0,1,0,0,1,35,257.838619,28200,11348,0.402411348,79,998,5.657,-0.812360639,-0.072416203,1.728458308,-0.121133001,1.321084505,0.276862849,4448.714286,6601.142857,1.379318107,1.857486725,0.341864277,-0.497049797,0.769139026
live_oak,2003,79302,0,0,0,1,0,0,1,21,257.838619,28200,11348,0.402411348,79,838,3.188,-0.812360639,-0.072416203,1.728458308,-0.121133001,1.006810023,-0.104323709,4448.714286,6601.142857,1.379318107,1.857486725,0.341864277,-0.497049797,0.769139026
col,2000,79469,153,84,69,0,0,1,1,11,576.860531,16100,9512,0.590807453,120,1225,10.377,0.653240579,-0.652023383,1.186331533,1.451020897,1.766961425,1.005579153,2384.142857,5941.428571,-0.08023238,1.533693003,-1.107479595,-0.660629969,1.759127696
col,2002,79730,0,0,0,1,0,0,0,36,576.860531,11300,1714,0.151681416,77,888,5.431,0.653240579,-0.881950198,-1.116230877,-0.197823435,1.105020798,0.241970924,853.1428571,627.2857143,-1.162574102,-1.074536249,0.438998007,-0.409476573,-0.548403033
col,2007,80785,34,16,18,0,0,1,0,4,576.860531,13600,6789,0.499191176,136,NA,2.222,0.653240579,-0.771776933,0.382294929,2.064544369,NA,-0.253463529,4380.285714,2459,1.330942472,-0.175514354,-0.26675436,-0.497049797,1.277700141
col,2000,80945,75,48,27,0,0,1,1,5,576.860531,16100,9512,0.590807453,120,752,3.623,0.653240579,-0.652023383,1.186331533,1.451020897,0.837887489,-0.037164474,2384.142857,5941.428571,-0.08023238,1.533693003,-1.107479595,-0.660629969,1.759127696
col,2000,81228,102,60,42,0,0,1,1,8,576.860531,16100,9512,0.590807453,120,1148,7.018,0.653240579,-0.652023383,1.186331533,1.451020897,1.615716831,0.486986342,2384.142857,5941.428571,-0.08023238,1.533693003,-1.107479595,-0.660629969,1.759127696
col,2000,81263,112,84,28,0,0,1,0,14,576.860531,27800,7398,0.266115108,120,1077,12.281,0.653240579,-0.091576771,0.562118025,1.451020897,1.47625753,1.299535899,2358.571429,6685.571429,-0.098310122,1.89892503,-0.980212747,-0.642454395,0.052926058
col,2000,83383,33,0,33,0,0,1,1,9,576.860531,14400,10956,0.760833333,110,180,3.237,0.653240579,-0.733455797,1.612710107,1.067568727,-0.285643783,-0.096758646,4101.714286,6579.857143,1.134006169,1.847039504,0.048325191,-0.658977644,2.652584038
col,2000,84024,171,84,87,0,0,1,1,10,576.860531,16100,9512,0.590807453,120,1381,8.929,0.653240579,-0.652023383,1.186331533,1.451020897,2.073379045,0.782023812,2384.142857,5941.428571,-0.08023238,1.533693003,-1.107479595,-0.660629969,1.759127696
col,2007,88308,33,16,17,0,0,1,1,23,576.860531,13000,9216,0.708923077,123,NA,8.582,0.653240579,-0.800517785,1.098929831,1.566056548,NA,0.728450813,4263.285714,6040.857143,1.248229224,1.582493442,-0.903171699,-0.559838146,2.379804698
col,2007,91544,178,70,108,0,0,1,0,16,576.860531,13500,10546,0.781185185,140,NA,4.713,0.653240579,-0.776567075,1.491646939,2.217925237,NA,0.131119588,4380.571429,3194.142857,1.331144458,0.185300392,-0.756405667,-0.493745147,2.759529471
col,2007,92791,171,70,101,0,0,1,0,33,576.860531,13500,10546,0.781185185,132,NA,9.851,0.653240579,-0.776567075,1.491646939,1.911163501,NA,0.924370514,4380.571429,3194.142857,1.331144458,0.185300392,-0.756405667,-0.493745147,2.759529471
col,2000,93088,69,12,57,0,0,1,1,8,576.860531,16100,9512,0.590807453,120,1026,5.735,0.653240579,-0.652023383,1.186331533,1.451020897,1.376082539,0.288905194,2384.142857,5941.428571,-0.08023238,1.533693003,-1.107479595,-0.660629969,1.759127696
